f_30_0,340.0,350.0
f_27_1,340.0,350.0
f_24_2,340.0,350.0
f_21_3,340.0,350.0
f_18_4,340.0,350.0
f_15_5,340.0,350.0
f_12_6,340.0,350.0
f_9_7,340.0,350.0
b_2_0,350.0,370.0
b_3_1,350.0,370.0
b_4_2,350.0,370.0
b_5_3,350.0,370.0
b_6_4,350.0,370.0
b_7_5,350.0,370.0
b_8_6,350.0,370.0
b_9_7,350.0,370.0
f_31_0,370.0,380.0
f_28_1,370.0,380.0
f_25_2,370.0,380.0
f_22_3,370.0,380.0
f_19_4,370.0,380.0
f_16_5,370.0,380.0
f_13_6,370.0,380.0
f_10_7,370.0,380.0
b_3_0,380.0,400.0
b_4_1,380.0,400.0
b_5_2,380.0,400.0
b_6_3,380.0,400.0
b_7_4,380.0,400.0
b_8_5,380.0,400.0
b_9_6,380.0,400.0
b_10_7,380.0,400.0
b_4_0,400.0,420.0
f_29_1,400.0,410.0
f_26_2,400.0,410.0
f_23_3,400.0,410.0
f_20_4,400.0,410.0
f_17_5,400.0,410.0
f_14_6,400.0,410.0
f_11_7,400.0,410.0
b_5_1,410.0,430.0
b_6_2,410.0,430.0
b_7_3,410.0,430.0
b_8_4,410.0,430.0
b_9_5,410.0,430.0
b_10_6,410.0,430.0
b_11_7,410.0,430.0
b_5_0,430.0,450.0
f_30_1,430.0,440.0
f_27_2,430.0,440.0
f_24_3,430.0,440.0
f_21_4,430.0,440.0
f_18_5,430.0,440.0
f_15_6,430.0,440.0
f_12_7,430.0,440.0
b_6_1,440.0,460.0
b_7_2,440.0,460.0
b_8_3,440.0,460.0
b_9_4,440.0,460.0
b_10_5,440.0,460.0
b_11_6,440.0,460.0
b_12_7,440.0,460.0
b_6_0,460.0,480.0
f_31_1,460.0,470.0
f_28_2,460.0,470.0
f_25_3,460.0,470.0
f_22_4,460.0,470.0
f_19_5,460.0,470.0
f_16_6,460.0,470.0
f_13_7,460.0,470.0
b_7_1,470.0,490.0
b_8_2,470.0,490.0
b_9_3,470.0,490.0
b_10_4,470.0,490.0
b_11_5,470.0,490.0
b_12_6,470.0,490.0
b_13_7,470.0,490.0
b_7_0,490.0,510.0
b_8_1,490.0,510.0
f_29_2,490.0,500.0
f_26_3,490.0,500.0
f_23_4,490.0,500.0
f_20_5,490.0,500.0
f_17_6,490.0,500.0
f_14_7,490.0,500.0
b_9_2,500.0,520.0
b_10_3,500.0,520.0
b_11_4,500.0,520.0
b_12_5,500.0,520.0
b_13_6,500.0,520.0
b_14_7,500.0,520.0
b_8_0,510.0,530.0
b_9_1,520.0,540.0
f_30_2,520.0,530.0
f_27_3,520.0,530.0
f_24_4,520.0,530.0
f_21_5,520.0,530.0
f_18_6,520.0,530.0
f_15_7,520.0,530.0
b_10_2,530.0,550.0
b_11_3,530.0,550.0
b_12_4,530.0,550.0
b_13_5,530.0,550.0
b_14_6,530.0,550.0
b_15_7,530.0,550.0
b_9_0,540.0,560.0
b_10_1,550.0,570.0
f_31_2,550.0,560.0
f_28_3,550.0,560.0
f_25_4,550.0,560.0
f_22_5,550.0,560.0
f_19_6,550.0,560.0
f_16_7,550.0,560.0
b_11_2,560.0,580.0
b_12_3,560.0,580.0
b_13_4,560.0,580.0
b_14_5,560.0,580.0
b_15_6,560.0,580.0
b_16_7,560.0,580.0
b_10_0,570.0,590.0
b_11_1,580.0,600.0
b_12_2,580.0,600.0
f_29_3,580.0,590.0
f_26_4,580.0,590.0
f_23_5,580.0,590.0
f_20_6,580.0,590.0
f_17_7,580.0,590.0
b_13_3,590.0,610.0
b_14_4,590.0,610.0
b_15_5,590.0,610.0
b_16_6,590.0,610.0
b_17_7,590.0,610.0
b_11_0,600.0,620.0
b_12_1,600.0,620.0
b_13_2,610.0,630.0
f_30_3,610.0,620.0
f_27_4,610.0,620.0
f_24_5,610.0,620.0
f_21_6,610.0,620.0
f_18_7,610.0,620.0
b_12_0,620.0,640.0
b_14_3,620.0,640.0
b_15_4,620.0,640.0
b_16_5,620.0,640.0
b_17_6,620.0,640.0
b_18_7,620.0,640.0
b_13_1,630.0,650.0
b_14_2,640.0,660.0
f_31_3,640.0,650.0
